"sequenceNo";"name";"title";"menu";"frame";"bundle";"active";"description";"separatorBefore";"separatorAfter";"iconUrl"
"1";"ad-menu-imp";"Import";;;;"true";;"false";"false";
"1";"ad-menu-usr";"Users";;;;"true";;"false";"false";
"2";"ad-menu-acl";"Access control";;;;"true";;"false";"false";
"2";"ad-menu-exp";"Export";;;;"true";;"false";"false";
"10";"OpportunityBaseData_UI";"Opportunity base data";;"net.nan21.dnet.module.sd.opportunity.frame.OpportunityBaseData_UI";"nan21.dnet.module.sd.ui.extjs";"true";;"false";"false";
"10";"BP_BaseData_UI";"Definitions (BP)";;"net.nan21.dnet.module.md.bp.frame.BP_BaseData_UI";"nan21.dnet.module.md.ui.extjs";"true";;"false";"false";
"10";"EmployeeTypeDefs_UI";"Employee base data definition";;"net.nan21.dnet.module.hr.employee.frame.EmployeeTypeDefs_UI";"nan21.dnet.module.hr.ui.extjs";"true";;"false";"false";
"10";"RatingLevel_UI";"Rating levels";;"net.nan21.dnet.module.hr.skill.frame.RatingLevel_UI";"nan21.dnet.module.hr.ui.extjs";"true";;"false";"false";
"10";"MyClient_UI";"Client info";;"net.nan21.dnet.module.ad.client.frame.MyClient_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"10";"GradeRate_UI";"Grade rates";;"net.nan21.dnet.module.hr.grade.frame.GradeRate_UI";"nan21.dnet.module.hr.ui.extjs";"true";;"false";"false";
"10";"BPartner_UI";"Business partners";;"net.nan21.dnet.module.md.bp.frame.BPartner_UI";"nan21.dnet.module.md.ui.extjs";"true";;"false";"false";
"10";"sd-menu-opportunity";"Opportunities";"SD";;;"true";;"false";"false";
"10";"ReportServers_UI";"Report servers";;"net.nan21.dnet.module.ad.report.frame.ReportServers_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"5";"StockLocatorTypes_UI";"Locator types";;"net.nan21.dnet.module.md.org.frame.StockLocatorTypes_UI";"nan21.dnet.module.md.ui.extjs";"true";;"false";"false";
"10";"SubInventories_UI";"Sub-inventories";;"net.nan21.dnet.module.md.org.frame.SubInventories_UI";"nan21.dnet.module.md.ui.extjs";"true";;"false";"false";
"10";"Currencies_UI";"Currencies";;"net.nan21.dnet.module.bd.currency.frame.Currencies_UI";"nan21.dnet.module.bd.ui.extjs";"true";;"false";"false";
"10";"CsvExport_UI";"CSV exports";;"net.nan21.dnet.module.ad.impex.frame.CsvExport_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"10";"AccessControl_UI";"Access rights";;"net.nan21.dnet.module.ad.usr.frame.AccessControl_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"10";"ElementValue_UI";"Element values";;"net.nan21.dnet.module.hr.payroll.frame.ElementValue_UI";"nan21.dnet.module.hr.ui.extjs";"true";;"false";"false";
"10";"Classifications_UI";"Classifications";;"net.nan21.dnet.module.bd.standards.frame.Classifications_UI";"nan21.dnet.module.bd.ui.extjs";"true";;"false";"false";
"10";"ProductCategory_UI";"Product categories";;"net.nan21.dnet.module.md.mm.prod.frame.ProductCategory_UI";"nan21.dnet.module.md.ui.extjs";"true";;"false";"false";
"10";"CourseType_UI";"Course types";;"net.nan21.dnet.module.hr.training.frame.CourseType_UI";"nan21.dnet.module.hr.ui.extjs";"true";;"false";"false";
"10";"pj-menu-base";"Base data";"PJ";;;"true";;"false";"false";
"10";"fi-menu-base";"Base data";"FI";;;"true";;"false";"false";
"20";"fi-menu-tx";"Transactions";"FI";;;"true";;"false";"false";
"10";"PayAccount_UI";"Financial accounts";;"net.nan21.dnet.module.md.org.frame.PayAccount_UI";"nan21.dnet.module.md.ui.extjs";"true";;"false";"false";
"10";"AccDoc_UI";"Accounting documents";;"net.nan21.dnet.module.md.tx.fin.frame.AccDoc_UI";"nan21.dnet.module.md.ui.extjs";"true";;"false";"false";
"10";"JobBaseDataDef_UI";"Job base data definitions";;"net.nan21.dnet.module.hr.job.frame.JobBaseDataDef_UI";"nan21.dnet.module.hr.ui.extjs";"true";;"false";"false";
"10";"AttachmentType_UI";"Attachment types";;"net.nan21.dnet.module.ad.data.frame.AttachmentType_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
